universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Sekolah Tinggi Alkitab Tiranus Bandung;C;538/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Sekolah Tinggi Bahasa Asing LIA Jakarta;C;1048/SK/BAN-PT/Akred/PT/X/2015;2015;3;2020-10-03;Masih berlaku
Sekolah Tinggi Bahasa Asing Saraswati;C;1781/SK/BAN-PT/Akred/PT/IX/2016;2016;8;2021-09-02;Masih berlaku
Sekolah Tinggi Bahasa Asing Yapari;C;0098/SK/BAN-PT/Akred/III/2016;2016;4;2021-03-05;Masih berlaku
Sekolah Tinggi Ekonomi Islam Iqra Annisa;C;760/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Sekolah Tinggi Ekonomi Islam Tazkia;C;248/SK/BAN-PT/Akred/PT/VII/2014;2014;4;2019-07-19;Masih berlaku
Sekolah Tinggi Energi dan Mineral Akamigas Cepu;B;0108/SK/BAN-PT/Akred/PT/III/2016;2015;6;2020-08-29;Masih berlaku
Sekolah Tinggi Farmasi Indonesia;C;0046/SK/BAN-PT/Akred/PT/I/2016;2016;4;2021-01-29;Masih berlaku
Sekolah Tinggi Farmasi Muhammadiyah Tangerang;C;335/SK/BAN-PT/Akred/PT/VIII/2014;2014;4;2019-08-30;Masih berlaku
Sekolah Tinggi Filsafat Fajar Timur;C;2654/SK/BAN-PT/Akred/PT/XI/2016;2016;14;2021-11-24;Masih berlaku
Sekolah Tinggi Filsafat Katolik Ledalero;B;0790/SK/BAN-PT/Akred/PT/VI/2016;2016;8;2021-06-10;Masih berlaku
Sekolah Tinggi Filsafat Theologi Jakarta;B;2648/SK/BAN-PT/Akred/PT/XI/2016;2016;3;2021-11-24;Masih berlaku
Sekolah Tinggi Filsafat Theologia Jaffray;C;374/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Sekolah Tinggi Hukum Bandung;C;410/SK/BAN-PT/Akred/PT/X/2014;2014;4;2019-10-24;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Amuntai;C;1030/SK/BAN-PT/Akred/PT/VI/2016;2016;11;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Bagasasi Bandung;C;1089/SK/BAN-PT/Akred/PT/VII/2016;2016;4;2021-07-01;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Bengkulu;C;758/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Bina Banua Banjarmasin;C;923/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Administrasi dan Pemerintahan Annisa Dwi Salfarizi, Palembang;C;1093/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-10-24;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Karya Dharma;C;2655/SK/BAN-PT/Akred/PT/XI/2016;2016;14;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Administrasi LAN Jakarta;B;3151/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara;B;1934/SK/BAN-PT/Akred/PT/IX/2016;2016;4;2021-09-08;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara Makassar;B;156/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Malang;C;926/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Mandala Indonesia;C;234/SK/BAN-PT/Akred/PT/VII/2014;2014;3;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Pelita Nusantara;C;0045/SK/BAN-PT/Akred/PT/I/2016;2016;13;2021-01-29;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Sandikta;C;655/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Tabalong;C;0792/SK/BAN-PT/Akred/PT/VI/2016;2016;11;2021-06-10;Masih berlaku
Sekolah Tinggi Ilmu Administrasi Yappi Makassar;C;498/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Al-Qur'an Amuntai;C;162/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Al-Qur`an ISY Karima;C;415/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Bahasa Asing Malang;C;1272/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Bahasa Asing Persada Bunda;C;517/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-12;Masih berlaku
Sekolah Tinggi Ilmu Bahasa Asing Satya Widya;C;1275/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Dakwah dan Komunikasi Islam Al-Aziz Batam;C;1031/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi 45 Mataram;C;864/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;C;547/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan;B;1027/SK/BAN-PT/Akred/PT/VI/2016;2016;3;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Al Khairiyah;C;888/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Al-Washliyah;C;331/SK/BAN-PT/Akred/PT/VIII/2014;2014;1;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Artha Bodhi Iswara;C;562/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti Surakarta;C;931/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Bangkinang;B;1418/SK/BAN-PT/Akred/PT/VIII/2016;2016;10;2021-08-11;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam;C;807/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-07;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Binaniaga;C;741/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro;C;305/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Dahani Dahanai Buntok;C;661/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Dharma Iswara Madiun;C;1271/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Dharma Negara;C;868/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi El Fatah Manado;C;1226/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Enam-Enam Kendari;C;698/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Fatahillah;C;919/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Gentiaras;C;344/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Graha Karya Muara Bulian;C;540/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Indonesia Banjarmasin;B;886/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Indonesia Banking School;B;3130/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya;B;157/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Indragiri;C;3133/SK/BAN-PT/Akred/PT/XII/2016;2016;10;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Insan Pembangunan;C;1227/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Jambi;C;3099/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi K.H. Ahmad Dahlan Lamongan;C;672/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Kasih Bangsa;C;937/SK/BAN-PT/Akred/PT/VIII/2015;2015;3;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Kebangsaan Bireuen;C;398/SK/BAN-PT/Akred/PT/V/2015;2015;13;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Kesatuan;B;2664/SK/BAN-PT/Akred/PT/XI/2016;2016;4;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Lampung;C;702/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Lembah Dempo;C;482/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Madani Balikpapan;C;901/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Mah-Eisa;C;0367/SK/BAN-PT/Akred/PT/I/2017;2017;14;2022-01-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Mahaputra Riau;C;265/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Mahardhika;B;468/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Malangkucecwara;B;940/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda;C;0052/SK/BAN-PT/Akred/PT/I/2016;2016;4;2021-01-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muara Teweh;C;1243/SK/BAN-PT/Akred/PT/XI/2015;2015;11;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;C;543/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Mamuju;C;1249/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Paciran Lamongan;C;734/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo;C;3164/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Pringsewu Lampung;C;872/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Mulia Singkawang;C;3107/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Multi Data Palembang;C;321/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Musi;B;885/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Musi Rawas;C;259/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Nasional Banjarmasin;C;705/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Nobel Indonesia;C;602/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Nusa Megar Kencana;B;714/SK/BAN-PT/Akred/PT/VII/2015;2015;5;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Panca Bhakti Palu;C;654/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pancasetia;C;576/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pariwisata Internasional;C;391/SK/BAN-PT/Akred/PT/V/2015;2015;3;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pariwisata Yapari Aktripa;C;1046/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pasaman;C;2659/SK/BAN-PT/Akred/PT/XI/2016;2016;10;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pelita Indonesia;B;3157/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pemuda;C;2658/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Pengembangan Bisnis dan Manajemen;C;1286/SK/BAN-PT/Akred/PT/XII/2015;2015;3;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Perbanas Surabaya;A;2985/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-20;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Persada Bunda;C;721/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Petra;C;3122/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Prasetya Mandiri Lampung;B;713/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Riau;C;899/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Satya Dharma;C;210/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Sebelas April;C;1276/SK/BAN-PT/Akred/PT/XII/2015;2015;4;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis;C;959/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Tenggarong;C;182/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Triatma Mulya;C;309/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Tricom;C;1069/SK/BAN-PT/Akred/PT/X/2015;2015;1;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Trisna Negara;C;817/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-07;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Umel;C;1225/SK/BAN-PT/Akred/PT/XI/2015;2015;12;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Widya Dharma;C;896/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha;B;2662/SK/BAN-PT/Akred/PT/XI/2016;2016;5;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Wiyatamandala;C;1246/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Yapan Surabaya;B;692/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi YKPN;B;041/SK/BAN-PT/Akred/PT/I/2014;2014;5;2019-01-16;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi YPPI;C;3149/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Ekonomi YPUP Makassar;C;301/SK/BAN-PT/Akred/PT/VIII/2014;2014;9;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Farmasi Makassar;C;1647/SK/BAN-PT/Akred/PT/VIII/2016;2016;9;2021-08-26;Masih berlaku
Sekolah Tinggi Ilmu Farmasi Padang;C;431/SK/BAN-PT/Akred/PT/V/2015;2015;1;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Hukum 'UMEL MANDIRI';B;3173/SK/BAN-PT/Akred/PT/XII/2016;2016;14;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Hukum Bintuni;C;0032/SK/BAN-PT/Akred/PT/I/2017;2017;14;2022-01-10;Masih berlaku
Sekolah Tinggi Ilmu Hukum Manokwari;C;1062/SK/BAN-PT/Akred/PT/X/2015;2015;14;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Hukum Muhammadiyah Bima;C;161/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi;C;564/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Hukum Persada Bunda Pekanbaru;C;722/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Hukum Pertiba Pangkalpinang;C;902/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Hukum Sultan Adam;C;744/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Hukum Sumpah Pemuda;B;769/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Hukum Tambun Bungai;C;554/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Keguruan Dan Ilmu Pendidikan Muhammadiyah Kotabumi;B;3169/SK/BAN-PT/Akred/PT/XII/2016;2016;2;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Keperawatan Gunung Sari;C;342/SK/BAN-PT/Akred/PT/VIII/2014;2014;9;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Keperawatan Muhammadiyah Pontianak;C;322/SK/BAN-PT/Akred/PT/VIII/2014;2014;11;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat;C;869/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aisyah Pringsewu;C;197/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Bandung;C;222/SK/BAN-PT/Akred/PT/VII/2014;2014;4;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Palembang;C;1205/SK/BAN-PT/Akred/PT/XII/2015;2015;2;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Surakarta;B;3155/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta;B;245/SK/BAN-PT/Akred/PT/VII/2014;2014;5;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Al Insyirah Pekanbaru;C;439/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Al Irsyad Al Islamiyyah;C;436/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Al Ma`arif;C;443/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Aufa Royhan;B;1278/SK/BAN-PT/Akred/PT/XII/2015;2015;10;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Avicenna;C;437/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bakti Tunas Husada Tasikmalaya;B;0167/SK/BAN-PT/Ak-SURV/PT/IV/2016;2016;4;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bali;B;203/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bani Saleh, Bekasi;C;1137/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-11-07;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Banyuwangi;C;196/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bhakti Husada Mulia Madiun;C;383/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bhakti Pertiwi Luwu Raya Palopo;C;1061/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bina Cipta Husada;C;036/SK/BAN-PT/Akred/PT/I/2014;2014;6;2019-01-16;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bina Husada;C;748/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bina Permata Medika;C;1056/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bina Putra Banjar;B;3139/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Bina Usada Bali;C;351/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Cahaya Bangsa;C;211/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Cut Nyak Dhien Langsa;C;402/SK/BAN-PT/Akred/PT/V/2015;2015;13;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Dehasen;C;408/SK/BAN-PT/Akred/PT/X/2014;2014;2;2019-10-24;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Deli Husada;B;282/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Eka Harap Palangka Raya;C;179/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Faathir Husada;C;708/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Flora;C;302/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Fort De Kock;B;3172/SK/BAN-PT/Akred/PT/XII/2016;2016;10;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Graha Medika Kotabagu;C;943/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Hafshawaty Zainul Hasan Genggong;C;717/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Hang Tuah;C;249/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Hang Tuah Tanjung Pinang;C;337/SK/BAN-PT/Akred/PT/VIII/2014;2014;10;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Immanuel Bandung;C;300/SK/BAN-PT/Akred/PT/VIII/2014;2014;4;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Indonesia Padang;C;1519/SK/BAN-PT/Akred/PT/VIII/2016;2016;10;2021-08-04;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Insan Cendekia Husada Bojonegoro;C;298/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Insan Cendikia Medika;C;857/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Insan Se Agung;C;3119/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Insan Unggul Surabaya;C;1784/SK/BAN-PT/Akred/PT/IX/2016;2016;7;2021-09-02;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan IST Buton;C;910/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Jayapura;C;2144/SK/BAN-PT/Akred/PT/IX/2016;2016;14;2021-09-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Karya Husada Kediri;B;172/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Karya Kesehatan;C;1031/SK/BAN-PT/Akred/PT/VI/2016;2016;9;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Kepanjen;C;173/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Kesetiawanan Sosial Indonesia Jakarta;C;1067/SK/BAN-PT/Akred/PT/X/2015;2015;3;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Kurnia Jaya Persada;B;978/SK/BAN-PT/Akred/PT/IX/2015;2015;9;2020-09-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Kusuma Husada Surakarta;C;262/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Lakipada Tana Toraja;C;2660/SK/BAN-PT/Akred/PT/XI/2016;2016;9;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Maharani;C;818/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
