universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Akademi Kebidanan Rizki Patya;C;515/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-12;Masih berlaku
Akademi Kebidanan Senior;C;239/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-10;Masih berlaku
Akademi Kebidanan Sungailiat Bangka;C;928/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-29;Masih berlaku
Akademi Kebidanan Tahirah Al-Baeti Bulukumba;C;956/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-29;Masih berlaku
Akademi Kebidanan Tunas Harapan Bangsa;C;534/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-22;Masih berlaku
Akademi Kebidanan Ummi Khasanah;B;3145/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Kebidanan Wijaya Kusuma Malang;C;1222/SK/BAN-PT/Akred/PT/XI/2015;2015;7;2020-12-19;Masih berlaku
Akademi Kebidanan Wiyata Mitra Husada Nganjuk;C;658/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Akademi Kebidanan Yayasan Kesehatan Nasional;C;225/SK/BAN-PT/Akred/PT/VII/2014;2014;9;2019-07-19;Masih berlaku
Akademi Kebidanan Yogyakarta;B;166/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-10;Masih berlaku
Akademi Kelautan Banyuwangi;C;153/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Akademi Keperawatan 17 Karanganyar;C;649/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Akademi Keperawatan Baramuli Airmadidi;B;297/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-18;Masih berlaku
Akademi Keperawatan Batari Toja Watampone;C;936/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-29;Masih berlaku
Akademi Keperawatan Bethesda Serukam;C;3135/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Akademi Keperawatan Dharma Insan;C;3121/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Akademi Keperawatan Dirgahayu Samarinda;B;1294/SK/BAN-PT/Akred/PT/XII/2015;2015;11;2020-12-29;Masih berlaku
Akademi Keperawatan Giri Satria Husada;C;738/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-10;Masih berlaku
Akademi Keperawatan Hafshawaty Zainul Hasan;C;537/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Akademi Keperawatan Intan Martapura;B;743/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-10;Masih berlaku
Akademi Keperawatan Kaltara;C;1063/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Akademi Keperawatan Kesdam IX Udayana;C;887/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-21;Masih berlaku
Akademi Keperawatan Pamenang;B;2657/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
